title,num_subscribers,course_type,institution,Level,subject,lang,price,ventas,Plataforma
How to Learn Online,124980,Self-paced on your time,edX,Introductory,Education & Teacher Training,English,49,6124020,Edx
Programming for Everybody (Getting Started with Python),293864,Self-paced on your time,The University of Michigan,Introductory,Computer Science,English,49,14399336,Edx
CS50's Introduction to Computer Science,2442271,Self-paced on your time,Harvard University,Introductory,Computer Science,English,90,219804390,Edx
The Analytics Edge,129555,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Data Analysis & Statistics,English,199,25781445,Edx
Marketing Analytics: Marketing Measurement Strategy,81140,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,249,20203860,Edx
Introduction to Project Management,301793,Self-paced on your time,University of Adelaide,Introductory,Business & Management,English,199,60056807,Edx
Leading High-Performing Teams,32847,Self-paced on your time,The University of Queensland,Intermediate,Communication,English,5,164235,Edx
The Foundations of Happiness at Work,67073,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,199,13347527,Edx
"Managing Study, Stress and Mental Health at University",23061,Self-paced on your time,Curtin University,Introductory,Health & Safety,English,49,1129989,Edx
Six Sigma: Define and Measure,92411,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,99,9148689,Edx
Fat Chance: Probability from the Ground Up,66835,Self-paced on your time,Harvard University,Introductory,Math,English,49,3274915,Edx
Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Self-paced on your time,National Research Nuclear University,Introductory,Communication,English,49,2190839,Edx
Bitcoin and Cryptocurrencies,83398,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,99,8256402,Edx
English Grammar and Style,0,Instructor-led on a course schedule,The University of Queensland,Introductory,Humanities,English,99,0,Edx
Ethics in Action,6366,Self-paced on your time,SDG Academy,Intermediate,Ethics,English,49,311934,Edx
Introduction to FinTech,72767,Self-paced on your time,University of Hong Kong,Introductory,Economics & Finance,English,199,14480633,Edx
Data Science: R Basics,528782,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,49,25910318,Edx
Python Basics for Data Science,228809,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,39,8923551,Edx
The Science of Beer,39085,Self-paced on your time,Wageningen University & Research,Introductory,Food & Nutrition,English,49,1915165,Edx
Strategic Social Media Marketing,103640,Instructor-led on a course schedule,Boston University,Advanced,Business & Management,English,399,41352360,Edx
CS50's Introduction to Artificial Intelligence with Python,258006,Self-paced on your time,Harvard University,Introductory,Computer Science,English,199,51343194,Edx
CS50's Introduction to Game Development,346748,Self-paced on your time,Harvard University,Intermediate,Computer Science,English,149,51665452,Edx
